OWASP漏洞类别,Slither,Mythril,Securify,Manticore,SMTChecker,Oyente,SmartCheck,Solhint
SCS-1: 重入攻击,深度覆盖,深度覆盖,深度覆盖,深度覆盖,基础覆盖,基础覆盖,基础覆盖,无覆盖
SCS-2: 访问控制缺陷,深度覆盖,基础覆盖,基础覆盖,基础覆盖,基础覆盖,无覆盖,基础覆盖,基础覆盖
SCS-3: 算术问题,深度覆盖,深度覆盖,深度覆盖,深度覆盖,深度覆盖,深度覆盖,基础覆盖,基础覆盖
SCS-4: 错误随机数,基础覆盖,基础覆盖,基础覆盖,无覆盖,无覆盖,基础覆盖,基础覆盖,无覆盖
SCS-5: 时间戳依赖,基础覆盖,基础覆盖,基础覆盖,基础覆盖,无覆盖,基础覆盖,基础覆盖,无覆盖
SCS-6: Gas Limit导致DoS,基础覆盖,深度覆盖,无覆盖,深度覆盖,无覆盖,深度覆盖,无覆盖,无覆盖
SCS-7: 未经检查的低级调用,深度覆盖,基础覆盖,深度覆盖,基础覆盖,无覆盖,无覆盖,基础覆盖,基础覆盖
SCS-8: 前端跑攻击,无覆盖,无覆盖,无覆盖,基础覆盖,无覆盖,无覆盖,无覆盖,无覆盖
SCS-9: 业务逻辑漏洞,基础覆盖,基础覆盖,无覆盖,深度覆盖,深度覆盖,无覆盖,无覆盖,无覆盖
SCS-10: 代码质量问题,深度覆盖,基础覆盖,基础覆盖,基础覆盖,基础覆盖,无覆盖,深度覆盖,深度覆盖
